[10, 45, 96, 64]
[12, 42, 96, 64]
[14, 39, 96, 64]
[16, 36, 96, 64]
[18, 33, 96, 64]
[18, 32, 96, 64]
[18, 31, 96, 64]
[20, 28, 96, 64]
[22, 25, 96, 64]
[24, 22, 96, 64]
[24, 22, 95, 64]
[24, 23, 93, 64]
[24, 22, 93, 64]
[24, 21, 93, 64]
[24, 20, 93, 64]
[24, 19, 93, 64]
[24, 19, 92, 64]
[25, 17, 92, 64]
[25, 16, 92, 64]
[25, 15, 92, 64]
[25, 14, 92, 64]
[24, 14, 92, 64]
[24, 14, 91, 64]
[24, 14, 90, 64]
[25, 12, 90, 64]
[25, 16, 85, 64]
[25, 15, 85, 64]
[25, 14, 85, 64]
[26, 14, 83, 64]
[26, 13, 83, 64]
[25, 13, 83, 64]
[25, 12, 83, 64]
[25, 16, 78, 64]
[25, 16, 77, 64]
[26, 15, 76, 64]
[26, 14, 76, 64]
[26, 14, 75, 64]
[26, 19, 69, 64]
[25, 19, 69, 64]
[26, 22, 64, 64]
[26, 25, 60, 64]
[26, 24, 60, 64]
[27, 22, 60, 64]
[29, 19, 60, 64]
[30, 17, 61, 63]
[29, 18, 60, 63]
[28, 18, 60, 63]
[27, 18, 60, 63]
[27, 17, 60, 63]
[28, 15, 61, 62]
[28, 15, 60, 62]
[27, 17, 58, 62]
[27, 16, 58, 62]
[26, 18, 56, 62]
[28, 16, 55, 62]
[28, 20, 50, 62]
[30, 18, 49, 62]
[31, 16, 49, 62]
[31, 15, 49, 62]
[32, 13, 49, 62]
[32, 13, 48, 62]
[31, 13, 48, 62]
[31, 13, 47, 62]
[32, 12, 48, 60]
[32, 11, 48, 60]
[32, 10, 48, 60]
[31, 10, 48, 60]
