[[1, 1, 1], 0.42187500000000033]
[[2, 1, 1], 0.3098421747133791]
[[2, 2, 1], 0.25000000000000017]
[[3, 1, 1], 0.24040880690936808]
[[2, 2, 2], 0.21093750001448702]
[[3, 2, 1], 0.205470676655699]
[[4, 1, 1], 0.19523729732336773]
[[3, 2, 2], 0.17955837819827136]
[[3, 3, 1], 0.1764650404442885]
[[4, 2, 1], 0.17284364118031573]
[[5, 1, 1], 0.16397618042358375]
[[3, 3, 2], 0.157412356055576]
[[4, 2, 2], 0.15492108735668914]
[[4, 3, 1], 0.15310547163730542]
[[5, 2, 1], 0.14853523545597658]
[[6, 1, 1], 0.1411943679608354]
[[3, 3, 3], 0.14062500000000033]
[[4, 3, 2], 0.13894345226227633]
[[4, 4, 1], 0.13616744268941405]
[[5, 2, 2], 0.13557550765359155]
[[5, 3, 1], 0.13445220644972705]
[[6, 2, 1], 0.12994753012424232]
[[7, 1, 1], 0.12390246753578137]
[[4, 3, 3], 0.12613520011218257]
[[4, 4, 2], 0.12500000000000108]
[[5, 3, 2], 0.12369957874865596]
[[5, 4, 1], 0.12186748873819901]
[[6, 2, 2], 0.12020440345468403]
[[6, 3, 1], 0.11947227887278929]
[[7, 2, 1], 0.11536216153473933]
[[8, 1, 1], 0.1103494207923243]
[[4, 4, 3], 0.11474842804854102]
[[5, 3, 3], 0.11377777777777803]
[[5, 4, 2], 0.1129998768743623]
[[5, 5, 1], 0.11080192223743608]
[[6, 3, 2], 0.11111111111110934]
[[6, 4, 1], 0.10986328124999811]
[[7, 2, 2], 0.10779681936112001]
[[7, 3, 1], 0.10729726144092425]
[[8, 2, 1], 0.10365092649734405]
[[9, 1, 1], 0.0994501286770342]
[[4, 4, 4], 0.10546875000599132]
[[5, 4, 3], 0.1047495368967322]
[[5, 5, 2], 0.10348957724100452]
[[6, 3, 3], 0.10328072490446079]
[[6, 4, 2], 0.10273533832784926]
[[6, 5, 1], 0.10116888044857587]
[[7, 3, 2], 0.10064628943521135]
[[7, 4, 1], 0.09976839530189924]
[[8, 2, 2], 0.0976186486616838]
[[8, 3, 1], 0.09726427115439049]
[[9, 2, 1], 0.09405913822929048]
[[10, 1, 1], 0.09049931317129158]
[[5, 4, 4], 0.09716151757526445]
[[5, 5, 3], 0.09662808822488834]
[[6, 4, 3], 0.09602912206619763]
[[6, 5, 2], 0.09511055535481458]
[[6, 6, 1], 0.09338444848484562]
[[7, 3, 3], 0.09434892945619623]
[[7, 4, 2], 0.09395671081131625]
[[7, 5, 1], 0.0928174646254952]
[[8, 3, 2], 0.09186520303998616]
[[8, 4, 1], 0.09122864865359827]
[[9, 2, 2], 0.08914274998119832]
[[9, 3, 1], 0.08888301567959038]
[[10, 2, 1], 0.08606885944924036]
[[11, 1, 1], 0.08301986245558694]
[[5, 5, 4], 0.09025114184003746]
[[6, 4, 4], 0.0897791890991351]
[[6, 5, 3], 0.08938054077836201]
[[6, 6, 2], 0.08823252022214427]
[[7, 4, 3], 0.08843968832403523]
[[7, 5, 2], 0.08775911276907794]
[[7, 6, 1], 0.08646126991393718]
[[8, 3, 3], 0.08671101773305587]
[[8, 4, 2], 0.0864218205901593]
[[8, 5, 1], 0.0855752768047714]
[[9, 3, 2], 0.0844219076638309]
[[9, 4, 1], 0.08394774658891203]
[[10, 2, 2], 0.08198809021179233]
[[10, 3, 1], 0.08179241283610748]
[[11, 2, 1], 0.07931523336546045]
[[12, 1, 1], 0.07667796879063223]
[[5, 5, 5], 0.08437499999999976]
[[6, 5, 4], 0.08400436921767207]
[[6, 6, 3], 0.08333333333333263]
[[7, 4, 4], 0.08324304878945381]
[[7, 5, 3], 0.08294157543654744]
[[7, 6, 2], 0.08206537057236804]
[[7, 7, 1], 0.08069119401457928]
[[8, 4, 3], 0.0818261467656519]
[[8, 5, 2], 0.08131280950926156]
[[8, 6, 1], 0.08032335207808926]
[[9, 3, 3], 0.08013626896978915]
[[9, 4, 2], 0.07991804196795972]
[[9, 5, 1], 0.07927575197992964]
[[10, 3, 2], 0.07804934062023694]
[[10, 4, 1], 0.07768769775250113]
[[11, 2, 2], 0.07587549852193695]
[[11, 3, 1], 0.07572459878182855]
[[12, 2, 1], 0.07353488880510681]
[[13, 1, 1], 0.07123331902949774]
[[6, 5, 5], 0.07899750590240459]
[[6, 6, 4], 0.07870617802778726]
[[7, 5, 4], 0.07838419898444193]
[[7, 6, 3], 0.07786353932618223]
[[7, 7, 2], 0.07686829905563473]
[[8, 4, 4], 0.07746054367834421]
[[8, 5, 3], 0.07722933747305295]
[[8, 6, 2], 0.07655273581865246]
[[8, 7, 1], 0.07547817667684453]
[[9, 4, 3], 0.0760434755252835]
[[9, 5, 2], 0.07564928819359878]
[[9, 6, 1], 0.07488353036394634]
[[10, 3, 3], 0.07443576388592563]
[[10, 4, 2], 0.07426761772799242]
[[10, 5, 1], 0.0737707833398028]
[[11, 3, 2], 0.07254195922735128]
[[11, 4, 1], 0.07226038391025984]
[[12, 2, 2], 0.07059718398042013]
[[12, 3, 1], 0.07047846791042221]
[[13, 2, 1], 0.06853345889931597]
[[14, 1, 1], 0.06650862189068212]
[[6, 6, 5], 0.07436403552323126]
[[7, 5, 5], 0.07410055131141863]
[[7, 6, 4], 0.07387054473873404]
[[7, 7, 3], 0.07320057724260266]
[[8, 5, 4], 0.07333949090806384]
[[8, 6, 3], 0.07293173232953953]
[[8, 7, 2], 0.07214524221976926]
[[8, 8, 1], 0.07103190760592655]
[[9, 4, 4], 0.07233796297038024]
[[9, 5, 3], 0.07215801719875481]
[[9, 6, 2], 0.07162873062549446]
[[9, 7, 1], 0.07078004339728108]
[[10, 4, 3], 0.07096419919214816]
[[10, 5, 2], 0.07065630599609898]
[[10, 6, 1], 0.07005472351951761]
[[11, 3, 3], 0.06945734487702158]
[[11, 4, 2], 0.06932535418259539]
[[11, 5, 1], 0.06893422544909068]
[[12, 3, 2], 0.06774086040709057]
[[12, 4, 1], 0.06751763784238252]
[[13, 2, 2], 0.06599599287139887]
