"{4.040296534175592*^-44, {a -> 7.69477174946015, b -> 0.13943485482230228, c -> 5.3864688742886235}}"
"{9.673338461542253*^-44, {a -> 0.05612423113985539, b -> 0.03275554632391665, c -> 0.2591439619349419}}"
"{1.85015187867886*^-43, {a -> 0.33939796617351387, b -> 0.1580145946095163, c -> 0.9476791379642875}}"
"{1.1210387714598537*^-42, {a -> 1.2599613379441776, b -> 0.36889839738065705, c -> 0.6879697913934693}}"
"{4.3790577010150533*^-45, {a -> 0.6885334430720701, b -> 0.07101144750015562, c -> 0.2304048830002591}}"
"{1.1852554281970523*^-10, {a -> 1.2345218770271378, b -> -1.0703272483609085, c -> -1.288837150200387}}"
"{3.7953888646544805*^-40, {a -> 0.6473870364084263, b -> -1.7114956915314552, c -> -4.333306188086491}}"
"{3.164019828568291*^-40, {a -> -0.951997913907435, b -> 0.7935014233395874, c -> -3.20545099449251}}"
"{9.105637421182661*^-42, {a -> -0.12145805550555504, b -> 0.6013552643454517, c -> -0.4753992493184612}}"
"{0., {a -> 1.8143624971363463, b -> 0.5236176383010128, c -> 0.6849929977301841}}"
"{3.5518992434934003*^-40, {a -> -0.2637329103531111, b -> 0.48354715452600006, c -> -0.8696440174831563}}"
"{4.1440767641293534*^-39, {a -> 0.6608245440329695, b -> -0.8296322580296328, c -> 1.1228530241449075}}"
"{1.327022919482973*^-38, {a -> 0.5272237196498079, b -> -0.9751956148674632, c -> 1.0143514616496154}}"
"{1.2667390595477194*^-38, {a -> -0.6280909097530133, b -> 0.5897932534563716, c -> -0.2459491322628741}}"
"{7.174648137343064*^-43, {a -> -2.921414306152734, b -> 0.5660870886734629, c -> -1.0203932519659518}}"
"{1.5764607723654192*^-43, {a -> -3.101833346608773, b -> 1.0428473909769396, c -> -1.34986807699684}}"
"{7.006492321624085*^-42, {a -> -4.451252773520346, b -> 2.206629265533494, c -> -2.1250113526477112}}"
"{1.6142958309021893*^-42, {a -> -2.4707680235387044, b -> 0.6266331767320537, c -> -1.2531259788237958}}"
"{1.3732724950383207*^-43, {a -> -2.3970886126187603, b -> -0.28537158725391626, c -> -1.463139529723248}}"
"{4.449402883924159*^-41, {a -> -0.28185776251690176, b -> 0.3983435611339, c -> -1.01487237047869}}"
"{3.0546512860246676*^-39, {a -> 0.8745843727770931, b -> 1.0509849299399328, c -> -0.8889287091239837}}"
"{9.368197624337066*^-49, {a -> 597909.1458099422, b -> 280664.73631085554, c -> 306720.17984742305}}"
"{1.1893100326417587*^-40, {a -> -0.0453807984616043, b -> -0.4600118469003596, c -> -0.9155257688839401}}"
"{6.138359897005575*^-40, {a -> -1.0238112914015174, b -> -0.15577540809718776, c -> -0.41770672961273453}}"
"{9.21001689277778*^-37, {a -> -0.9593117969485307, b -> -0.09492160636523528, c -> -0.3584330824462497}}"
"{3.515577587298101*^-41, {a -> -2.073869519609963, b -> -0.1868301690595705, c -> -0.726173006729239}}"
"{6.992486343473159*^-40, {a -> 3.863347034928052, b -> -2.539356851504036, c -> 4.534500429753464}}"
"{2.8698592549372254*^-38, {a -> -0.729271586811763, b -> 0.1931199989566871, c -> -0.9760946647228179}}"
