[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 1]], array([ 1.49999408,  1.50000435,  1.0000004 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 1]], array([ 1.33333333,  2.        ,  1.33333333])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 2]], array([ 1.49999955,  1.50000467,  1.9999961 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 1]], array([ 1.52786404,  1.99998609,  1.99999585])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 2]], array([ 1.33678468,  1.96910699,  1.34938413])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 3]], array([ 1.49999755,  1.50001176,  2.999993  ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 2]], array([ 1.519685  ,  1.78503749,  2.87589968])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 2]], array([ 1.33333724,  2.        ,  2.6666382 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 3]], array([ 1.33804949,  1.95426558,  1.35332055])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 4]], array([ 1.5000025 ,  1.50001078,  3.99999509])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 2]], array([ 1.41404659,  2.        ,  3.29297671])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 3]], array([ 1.59000477,  1.60673666,  3.28219121])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 3]], array([ 1.33485857,  1.97947701,  2.68636587])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 4]], array([ 1.33864572,  1.94564107,  1.3548272 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 5]], array([ 1.50009293,  1.50022297,  4.99892492])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 2]], array([ 2.31280388,  0.96087264,  3.40982615])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 3]], array([ 1.43729557,  1.83859393,  4.14036164])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 3]], array([ 1.33333333,  2.        ,  4.        ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 4]], array([ 1.64641692,  1.50350339,  3.45589744])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 4]], array([ 1.33565612,  1.96648367,  2.695155  ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 5]], array([ 1.28415684,  1.01278255,  9.64073567])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 6]], array([ 1.49999812,  1.49998519,  6.00002503])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 3]], array([ 2.4497413 ,  0.93778318,  3.75792047])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 3]], array([ 1.37722283,  1.99999584,  4.62278932])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 4]], array([ 1.47854152,  1.70295819,  4.57946448])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 4]], array([ 1.3341754 ,  1.98487717,  4.02120958])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 5]], array([ 1.68439108,  1.44239892,  3.54102003])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 5]], array([ 1.33612396,  1.95755461,  2.69980307])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 6]], array([ 1.33917382,  1.93607461,  1.35596217])]
